id,county,Math_2013,CR_2013,Writing_2013,Total_2013,income2013,freelunch_2013,dropout_2013,hispanic_percent,black_percent,white_percent,other_percent,state_code,geometry
30,Alamance,490,469,455,1414,41371,50.9556145,3.31,22.40278584,21.06790482,51.32371981,5.205589535,NC,"{""type"": ""Polygon"",""coordinates"": [[[-79.24593092873883, 35.86829422730657], [-79.23772910599943, 35.83738824820434], [-79.54073000017762, 35.837127829298105], [-79.53756368548336, 35.891105307206814], [-79.53032598772188, 36.236291059560926], [-79.53025745097771, 36.2462702788933], [-79.25824013835283, 36.23582430516562], [-79.25951223834518, 36.048032279230675], [-79.27055919073435, 35.90474266878384], [-79.24593092873883, 35.86829422730657]]]}"
45,Alexander,485,465,445,1395,39812,45.6954887,2.49,7.475764355,3.784489187,83.6316182,5.108128262,NC,"{""type"": ""Polygon"",""coordinates"": [[[-81.10868902641454, 35.77203335993893], [-81.12708401916916, 35.789100148926494], [-81.14120657737953, 35.82345125206322], [-81.32794143828174, 35.795191164275096], [-81.33702118407741, 35.82776083010376], [-81.33049081867038, 35.87593262931307], [-81.3393801328171, 35.92937238129245], [-81.32907320113127, 35.989377310993376], [-81.32168003944744, 35.98945740003833], [-81.23581608738213, 36.02395386530972], [-81.15726836800208, 36.021112569158866], [-81.12386564141528, 36.0314163407983], [-81.08388597758997, 36.020899499144676], [-81.0203688376235, 36.03506780032186], [-80.99514508819468, 35.977210562487805], [-81.04890364223274, 35.836101280452674], [-81.10868902641454, 35.77203335993893]]]}"
2,Alleghany,489,472,457,1418,32673,58.3333333,2.97,18.20143885,0.575539568,79.85611511,1.366906475,NC,"{""type"": ""Polygon"",""coordinates"": [[[-81.23970418775782, 36.36549354576037], [-81.24050538903171, 36.37954668655789], [-81.26265498315242, 36.40516932709035], [-81.26605053072117, 36.43733435156699], [-81.31314221570828, 36.480824257104345], [-81.32459515635449, 36.51380524700612], [-81.34736323890199, 36.5380389694373], [-81.34512100466316, 36.572988305621415], [-80.9032404743071, 36.56534208120496], [-80.93334628821623, 36.498445193901745], [-80.96557394377655, 36.46735189139292], [-80.94946729085585, 36.41486595538761], [-80.95618896858052, 36.40392934560245], [-80.97775043144154, 36.39150870549962], [-80.98264099178432, 36.37196614966344], [-81.00257741373231, 36.36681242480033], [-81.02444446862194, 36.37796624892283], [-81.04260364938906, 36.41046696357501], [-81.08405656829183, 36.43005091083869], [-81.09837007619156, 36.431282810896434], [-81.11311842719829, 36.42298193883365], [-81.12918684873787, 36.42646068368974], [-81.13820520674683, 36.417755532903215], [-81.1531749682181, 36.424869626226595], [-81.17648398854539, 36.415573028721845], [-81.23970418775782, 36.36549354576037]]]}"
90,Anson,419,423,409,1251,32341,71.6897507,4.06,3.178082192,57.83561644,34.2739726,4.712328767,NC,"{""type"": ""Polygon"",""coordinates"": [[[-79.91973664132485, 34.808074051346345], [-80.32506538114497, 34.81491669150309], [-80.27490803671222, 35.19325827239207], [-80.26087732706378, 35.204187111571315], [-80.24737305006406, 35.204671634752145], [-80.21967021832812, 35.159331910574664], [-80.18988439797057, 35.16800597893753], [-80.16791140382031, 35.149879175695055], [-80.15892376560674, 35.15488759022756], [-80.15446799656692, 35.17622992200175], [-80.13139623874025, 35.17126326152504], [-80.11005618634378, 35.1939825446674], [-80.07119155266328, 35.150889406268064], [-80.06495833522642, 35.13672975636546], [-80.05822935313219, 35.10413444753728], [-80.0025872042203, 35.090077421436796], [-79.97505941833361, 35.09688250366496], [-79.9446929783021, 35.11548595587426], [-79.92727443988677, 35.11592841417507], [-79.91491456592219, 35.10684214107043], [-79.9082088956457, 35.079144645150556], [-79.88185726867033, 35.0446152325101], [-79.89369951667288, 35.0073966721826], [-79.86682953847892, 34.96786941303368], [-79.8534873563186, 34.90473712527616], [-79.90120353900109, 34.852564292885184], [-79.91973664132485, 34.808074051346345]]]}"
1,Ashe,509,475,464,1448,34333,50.6157247,2.48,8.64390855,0.40714062,89.22643282,1.722518008,NC,"{""type"": ""Polygon"",""coordinates"": [[[-81.47257909344273, 36.23448491172604], [-81.54066705922062, 36.272634649662365], [-81.56180870214605, 36.27372170562586], [-81.63289477490216, 36.34081244364464], [-81.74090801026394, 36.39190785562346], [-81.698114920861, 36.47189997523101], [-81.70263269933602, 36.51946027955884], [-81.66983504392981, 36.58976778940628], [-81.34512100466316, 36.572988305621415], [-81.34736323890199, 36.5380389694373], [-81.32459515635449, 36.51380524700612], [-81.31314221570828, 36.480824257104345], [-81.26605053072117, 36.43733435156699], [-81.26265498315242, 36.40516932709035], [-81.24050538903171, 36.37954668655789], [-81.23970418775782, 36.36549354576037], [-81.26405840638473, 36.35254248409777], [-81.3288126268129, 36.363630827914434], [-81.36119341511379, 36.353288928501975], [-81.365511748037, 36.33917854424088], [-81.3539521428736, 36.29984606828023], [-81.3672735516141, 36.278827304536335], [-81.40620848337613, 36.2851820542497], [-81.41215185721235, 36.26742114293775], [-81.43086000538536, 36.260848350022414], [-81.452711311847, 36.23971499574328], [-81.47257909344273, 36.23448491172604]]]}"
25,Avery,504,523,499,1526,36071,51.6401125,1.23,8.70379036,0.280767431,89.14365934,1.871782873,NC,"{""type"": ""Polygon"",""coordinates"": [[[-81.9411797847107, 35.955102048970375], [-81.96123012374142, 35.93934693826128], [-81.94478757342902, 35.91874001663089], [-81.94685496903476, 35.91053834930362], [-81.98820018733954, 35.905769321237344], [-82.00490186145718, 35.91456569893732], [-82.04894234032565, 35.96735929913284], [-82.04256484863899, 36.00513278433074], [-82.06216615025588, 36.03564883442816], [-82.07760214808206, 36.100260231119606], [-82.02029496553871, 36.12983432836799], [-81.93295169732332, 36.263444250438454], [-81.91099403716872, 36.29087531818352], [-81.89383451895057, 36.26710705504666], [-81.90639995134362, 36.22199133153569], [-81.89840379064078, 36.19898153134018], [-81.88502886832752, 36.18876235569715], [-81.85007730456972, 36.18159915214437], [-81.82214477372294, 36.15798319288345], [-81.81698649010436, 36.10951424570395], [-81.80605314397367, 36.1046889066468], [-81.73209805990562, 36.05860501744285], [-81.80261718925416, 35.9604599335529], [-81.85970280592083, 35.97046894020795], [-81.88064686823986, 35.98965285667912], [-81.90068254672741, 35.99477953983366], [-81.9219842641347, 35.982640817313424], [-81.9411797847107, 35.955102048970375]]]}"
62,Beaufort,477,463,441,1381,38248,60.9312321,2.05,13.62215909,32.31534091,50.01420455,4.048295455,NC,"{""type"": ""MultiPolygon"",""coordinates"": [[[[-77.10344386551999, 35.55034880022433], [-76.98285400809264, 35.43666369599701], [-76.69455251010393, 35.35059413369919], [-76.61416704242495, 35.27308674303906], [-76.63986277845704, 35.23741603560582], [-76.85022820735931, 35.21733357807066], [-76.89726627516559, 35.251737262307415], [-77.19464021458042, 35.42311725050919], [-77.17188979721037, 35.51928601029473], [-77.14707830432737, 35.54775093125478], [-77.10344386551999, 35.55034880022433]]], [[[-76.97958444794779, 35.65028920490491], [-76.83797753630985, 35.70561788757418], [-76.63347886306948, 35.70316683125239], [-76.60857448554378, 35.66431851584429], [-76.60760466212153, 35.63523168739083], [-76.58553132354689, 35.60962018472686], [-76.53924933569613, 35.59420164486197], [-76.51859537599793, 35.57781017333246], [-76.49218805968017, 35.54195240151282], [-76.63785283353103, 35.52050159208005], [-76.62842113109144, 35.43806313031829], [-76.70502925543103, 35.41210106971947], [-77.10344386551999, 35.55034880022433], [-77.11907008777897, 35.58566097190064], [-77.14802502314804, 35.59816527552716], [-77.15173336350689, 35.62004611029128], [-77.17436333648527, 35.635571625497604], [-77.18689167718608, 35.66446750426171], [-77.17511920922465, 35.67644553065161], [-77.19520088969922, 35.70007340484161], [-77.19192029529397, 35.71225357059339], [-77.17710340754306, 35.71462251751268], [-77.17814130147313, 35.73235296804944], [-77.16096691549565, 35.736938247187844], [-76.97958444794779, 35.65028920490491]]]]}"
31,Bertie,404,394,380,1178,29615,79.7250859,3.12,2.028549962,81.55522164,14.65063862,1.765589782,NC,"{""type"": ""Polygon"",""coordinates"": [[[-76.78273355324505, 35.85939507039236], [-76.8102007284056, 35.881470377520515], [-76.8345089450455, 35.884388447257805], [-76.85639786123976, 35.83594198303142], [-76.87815752635564, 35.81745208527654], [-76.89815492165805, 35.81434301404586], [-76.90448050569721, 35.86807260962587], [-76.93577009371145, 35.894759874972735], [-76.99040605276541, 35.87799784914915], [-77.00410122765044, 35.86199900043452], [-77.04799479026308, 35.85765010312806], [-77.03385736429338, 35.91449260343768], [-77.04056396704259, 35.931910364792415], [-77.06597840714055, 35.936167413536964], [-77.08969139536734, 35.925402326926374], [-77.18835845675862, 35.931406156076605], [-77.19557615816088, 35.93611343372787], [-77.19308148283788, 35.988252386277054], [-77.21522278831227, 35.98922500711744], [-77.21349097927398, 36.005521314626506], [-77.27640522382954, 36.027855849167985], [-77.31494255958891, 36.04824120492171], [-77.33189569051396, 36.068138411211855], [-77.30956400519464, 36.08760098161114], [-77.24072208342683, 36.101459960868866], [-77.25718701308426, 36.118629736286834], [-77.25560015174831, 36.130844299920795], [-77.27009663151532, 36.155681487607346], [-77.29319910913738, 36.163016991395274], [-77.2983037237711, 36.21168450345793], [-77.23429895238142, 36.21475555052368], [-77.21735379927844, 36.24113779368635], [-77.12975788276273, 36.2336192662271], [-76.99443117482541, 36.235736704534936], [-76.98036969357753, 36.23039239261074], [-76.74473627459679, 36.23407363945698], [-76.76034503889449, 36.14475021363825], [-76.69343095265017, 35.99313035823826], [-76.74079455704027, 35.936787404280906], [-76.6968862302764, 35.94170485092017], [-76.70798690345445, 35.91999548752658], [-76.7282662681435, 35.91101940161381], [-76.74138874937259, 35.88323705067734], [-76.76092798975024, 35.864705243454566], [-76.78273355324505, 35.85939507039236]]]}"
101,Bladen,440,425,400,1265,33138,73.0753564,4.22,14.11079888,40.4857487,40.08430349,5.319148936,NC,"{""type"": ""Polygon"",""coordinates"": [[[-78.2612193363812, 34.39495496827206], [-78.32870399231584, 34.36459044498999], [-78.43767083643552, 34.3720106483824], [-78.63782040515326, 34.451315069366466], [-78.659557535512, 34.451112774592474], [-78.66823253634757, 34.46529967341982], [-78.81163368089132, 34.455486952270185], [-78.83610233464132, 34.4593661423511], [-78.86425622414862, 34.477363435494986], [-78.84541084707514, 34.50762181230026], [-78.85234632007057, 34.566749233377195], [-78.80306586261332, 34.68527236865131], [-78.841451205321, 34.73516758464452], [-78.8960114268693, 34.83106742966135], [-78.83140287940002, 34.84452295905996], [-78.51717055864826, 34.843699326636994], [-78.49901930389916, 34.85527701141015], [-78.4007257496322, 34.75950185871625], [-78.38639727036508, 34.722060489215146], [-78.3635388415728, 34.69221395452338], [-78.33858975716107, 34.68277619101117], [-78.3220640613654, 34.6457426229085], [-78.30942169997378, 34.636022579185415], [-78.31960741020734, 34.630262436236684], [-78.30562233991763, 34.605527561528014], [-78.27433321813974, 34.58144479606774], [-78.25652578680038, 34.55392120630825], [-78.26212621789554, 34.528106890829896], [-78.25477905819874, 34.50754913123293], [-78.16939631385573, 34.46261933241949], [-78.2612193363812, 34.39495496827206]]]}"
105,Brunswick,486,482,466,1434,42685,54.2250635,3.09,10.46370478,15.93428826,67.97766448,5.624342478,NC,"{""type"": ""Polygon"",""coordinates"": [[[-78.65545315327165, 33.948845000724475], [-78.63445619902836, 33.978149354339514], [-78.63000809698639, 34.010371829495895], [-78.5875182684303, 34.03077635274421], [-78.56316430882359, 34.05911538988844], [-78.54401396136997, 34.134332627573265], [-78.52696929270724, 34.15502704622626], [-78.49247552124591, 34.15867379158223], [-78.42515865859501, 34.138235077667886], [-78.36084829517671, 34.18689108923379], [-78.37330006950724, 34.20251969447858], [-78.26078527033478, 34.215432576564126], [-78.15450358499109, 34.362411877915626], [-78.12995898651927, 34.36429246815517], [-78.02563855030452, 34.32893828340288], [-78.01102002022061, 34.31278329731339], [-78.00673199266049, 34.28498597500952], [-77.99510431698927, 34.28296805226144], [-77.99993385217361, 34.26805278863965], [-77.98285856732358, 34.26185013558607], [-77.97499222754355, 34.24353222724213], [-77.96557720600467, 34.24245651636327], [-77.96044223420382, 34.189413842346156], [-77.95823662542087, 33.99275358650854], [-78.03451791807568, 33.91446550897413], [-78.57945351917925, 33.88216460250206], [-78.65545315327165, 33.948845000724475]]]}"
